subject,choicepair,p1,x1,y1,p2,x2,y2,choice
1,1,0.29,88,78,0.29,53,91,0
1,2,0.82,26,34,0.49,18,31,1
1,3,0.59,31,63,0.89,92,20,0
1,4,0.07,51,35,0.6,9,89,0
1,5,0.48,13,70,0.18,72,60,0
1,6,0.63,41,18,0.98,56,8,0
1,7,0.17,70,65,0.35,100,50,0
1,8,0.98,76,37,0.82,49,50,1
1,9,0.37,26,64,0.89,19,81,1
1,10,0.19,43,5,0.14,91,6,0
1,11,0.91,43,96,0.66,48,38,1
1,12,0.33,69,56,0.4,89,37,1
1,13,0.99,24,53,0.71,17,77,1
1,14,0.24,47,27,0.88,45,29,0
1,15,0.09,56,19,0.76,13,90,1
1,16,0.88,72,29,0.39,67,63,1
1,17,0.61,37,50,0.6,6,45,1
1,18,0.9,76,69,0.66,19,79,1
1,19,0.69,57,40,0.07,39,74,0
1,20,0.01,53,99,0.83,87,61,1
1,21,0.12,52,73,0.98,92,19,0
1,22,0.38,40,55,0.14,26,96,0
1,23,0.16,66,23,0.79,15,29,1
1,24,0.31,100,48,0.58,100,1,0
1,25,0.05,60,76,0.84,95,17,0
1,26,0.62,1,83,0.41,37,24,0
1,27,0.8,54,21,0.49,98,3,0
1,28,0.34,24,59,0.42,47,64,0
1,29,0.19,30,97,0.14,85,82,1
1,30,0.74,62,0,0.44,23,31,1
1,31,0.99,31,68,0.04,32,47,0
1,32,0.76,37,5,0.18,12,28,0
1,33,0.74,65,6,0.64,93,35,0
1,34,0.08,82,72,0.27,47,77,1
1,35,0.88,79,82,0.2,57,94,0
1,36,0.56,63,21,1,36,0,1
1,37,0.93,86,27,0.8,87,18,1
1,38,0.61,68,39,0.6,77,48,0
1,39,0.68,41,65,0.85,100,2,0
1,40,0,0,46,0.36,52,36,1
1,41,0.91,80,19,0.64,37,65,1
1,42,0.73,75,34,0.9,56,82,0
1,43,0.87,77,72,0.26,67,100,0
1,44,0.92,63,5,0.63,43,53,1
1,45,0.05,56,72,0.95,68,95,0
1,46,0.25,84,43,0.43,7,97,1
1,47,0.78,32,99,0.32,39,56,1
1,48,0.09,83,67,0.48,77,6,1
1,49,0.08,54,31,0.15,44,29,1
1,50,0.04,39,28,0.39,53,20,0
1,51,0.44,14,72,0.21,9,31,1
1,52,0.31,39,51,0.84,16,91,1
1,53,0.1,45,14,0.14,25,27,0
1,54,0.51,44,38,0.38,20,86,0
1,55,0.33,85,60,0.24,98,26,1
1,56,0.68,30,67,0.59,7,59,1
1,57,0.49,15,50,0.94,64,14,0
1,58,0.52,68,90,0.19,1,87,1
1,59,0.63,65,74,0.47,7,85,1
1,60,0.28,7,74,0.71,55,63,1
1,61,0.33,-23,-29,0.43,-67,-28,1
1,62,0.76,-3,-92,0.62,-14,-83,1
1,63,0.82,-40,-90,0.17,-46,-64,1
1,64,0.3,-89,-72,0.96,-96,-37,1
1,65,0.13,-51,-56,0.93,-47,-70,0
1,66,0.96,-61,-56,0.34,-7,-63,1
1,67,0.44,-59,0,0.43,-80,-24,1
1,68,0.25,-94,-37,0.83,-49,-11,1
1,69,0.16,-15,-67,0.72,-56,-83,0
1,70,0.51,-26,-76,0.77,-48,-34,0
1,71,0.49,-1,-54,0.77,-33,-30,1
1,72,0.73,-49,-75,0.17,-2,-100,1
1,73,0.6,-46,-21,0.42,-99,-37,1
1,74,0.29,-67,-28,0.05,-46,-44,1
1,75,0.56,-4,-80,0.04,-46,-58,1
1,76,0.77,-77,-62,0.71,-94,-51,1
1,77,0.38,-22,-15,0.38,-4,-36,1
1,78,0.56,-6,-59,0.64,-27,-83,1
1,79,0.37,-91,-33,0.49,-41,-61,1
1,80,0.61,-73,-58,0.44,-83,-8,0
1,81,0.09,-54,-41,0.79,-65,-28,1
1,82,0.29,-25,-86,0.76,-38,-99,0
1,83,0.93,-55,-17,0.27,-88,-35,1
1,84,0.45,-37,-34,0.41,-11,-54,1
1,85,0.13,-19,-56,0.7,-32,-37,0
1,86,0.66,-8,-95,0.93,-42,-30,1
1,87,0.33,-23,-96,0.29,-40,-82,1
1,88,0.73,-73,-54,0.17,-42,-70,0
1,89,0.03,-75,-27,0.69,-41,-48,1
1,90,0.48,-59,-2,0.14,-77,-9,0
1,91,0.58,-50,-54,0.14,-73,-40,0
1,92,0.13,-29,-76,0.55,-100,-28,1
1,93,0.19,-68,-46,0.61,-9,-90,0
1,94,0.84,-57,-90,0.25,-63,-30,0
1,95,0.97,-58,-65,0.18,-52,-74,1
1,96,0.99,-96,-2,0.47,-90,-66,0
1,97,0.59,-85,-7,0.52,-9,-73,0
1,98,0.56,-58,-80,0.86,-58,-97,0
1,99,0.65,-72,-8,0.25,-90,-39,0
1,100,0.59,-41,-57,0.42,-51,-30,0
1,101,0.63,-96,-38,0.17,-12,-69,0
1,102,0.04,-98,-25,0.4,-78,-22,0
1,103,0.5,-21,-77,0.39,-77,-75,1
1,104,0.79,-67,-37,0.46,0,-97,0
1,105,0.4,-60,-82,0.47,-31,-90,0
1,106,0.21,-60,-16,0.45,-6,-51,1
1,107,0.48,-15,-91,0.28,-48,-74,0
1,108,0.04,-15,-60,0.88,-34,-77,0
1,109,0.99,-24,-13,0.44,-15,-62,1
1,110,0.39,-35,-72,0.76,-57,-28,0
1,111,0.76,-33,-53,0.52,-18,-60,1
1,112,0.43,-55,-53,0.08,-77,-51,0
1,113,0.75,-100,-84,0.95,-85,-29,0
1,114,0.53,-93,-26,0.8,-52,-93,1
1,115,0.59,-55,-77,0.47,-30,-61,0
1,116,0.66,-58,-68,0.68,-67,-49,1
1,117,0.86,-29,-30,0.26,-17,-43,1
1,118,0.32,-83,-19,0.15,-15,-52,1
