Country,Happiness_Rank,Happiness_Score,Whisker_high,Whisker_low,GDP_per_Capita,Family,Life_Expectancy,Freedom,Generosity,Government_Corruption
Norway,1,7.537,7.59444,7.47956,1.61646,1.53352,0.796667,0.635423,0.362012,0.315964
Denmark,2,7.522,7.58173,7.46227,1.48238,1.55112,0.792566,0.626007,0.35528,0.40077
Iceland,3,7.504,7.62203,7.38597,1.48063,1.61057,0.833552,0.627163,0.47554,0.153527
Switzerland,4,7.494,7.56177,7.42623,1.56498,1.51691,0.858131,0.620071,0.290549,0.367007
Finland,5,7.469,7.52754,7.41046,1.44357,1.54025,0.809158,0.617951,0.245483,0.382612
Netherlands,6,7.377,7.42743,7.32657,1.50394,1.42894,0.810696,0.585384,0.47049,0.282662
Canada,7,7.316,7.3844,7.2476,1.4792,1.48135,0.834558,0.611101,0.43554,0.287372
New Zealand,8,7.314,7.37951,7.24849,1.40571,1.5482,0.81676,0.614062,0.500005,0.382817
Sweden,9,7.284,7.34409,7.2239,1.49439,1.47816,0.830875,0.612924,0.385399,0.384399
Australia,10,7.284,7.35665,7.21135,1.48441,1.51004,0.843887,0.601607,0.477699,0.301184
Israel,11,7.213,7.27985,7.14615,1.37538,1.37629,0.838404,0.405989,0.330083,0.0852421
Costa Rica,12,7.079,7.16811,6.98989,1.10971,1.4164,0.759509,0.580132,0.214613,0.100107
Austria,13,7.006,7.07067,6.94133,1.4871,1.45994,0.815328,0.567766,0.316472,0.22106
United States,14,6.993,7.07466,6.91134,1.54626,1.41992,0.774287,0.505741,0.392579,0.135639
Ireland,15,6.977,7.04335,6.91065,1.53571,1.55823,0.809783,0.57311,0.427858,0.298388
Germany,16,6.951,7.00538,6.89662,1.48792,1.47252,0.798951,0.562511,0.336269,0.276732
Belgium,17,6.891,6.95582,6.82618,1.46378,1.46231,0.818092,0.539771,0.231503,0.251343
Luxembourg,18,6.863,6.92369,6.80231,1.74194,1.45758,0.845089,0.596628,0.283181,0.318834
United Kingdom,19,6.714,6.78379,6.64421,1.44163,1.49646,0.805336,0.50819,0.492774,0.265428
Chile,20,6.652,6.73925,6.56475,1.25278,1.28402,0.81948,0.376895,0.326662,0.082288
United Arab Emirates,21,6.648,6.72205,6.57395,1.62634,1.26641,0.726798,0.608345,0.360942,0.32449
Brazil,22,6.635,6.72547,6.54453,1.10735,1.43131,0.616552,0.437454,0.16235,0.111093
Czech Republic,23,6.609,6.68386,6.53414,1.35268,1.43389,0.754444,0.490946,0.0881068,0.0368729
Argentina,24,6.599,6.69009,6.50791,1.1853,1.44045,0.695137,0.494519,0.109457,0.0597399
Mexico,25,6.578,6.67115,6.48485,1.15318,1.21086,0.709979,0.41273,0.12099,0.132774
Singapore,26,6.572,6.63672,6.50728,1.69228,1.35381,0.949492,0.549841,0.345966,0.464308
Malta,27,6.527,6.5984,6.4556,1.34328,1.48841,0.821944,0.588767,0.574731,0.153066
Uruguay,28,6.454,6.54591,6.36209,1.21756,1.41223,0.719217,0.579392,0.175097,0.178062
Guatemala,29,6.454,6.56687,6.34113,0.872002,1.25559,0.54024,0.531311,0.283488,0.0772233
Panama,30,6.452,6.55713,6.34687,1.23375,1.37319,0.706156,0.550027,0.210557,0.0709839
France,31,6.442,6.51577,6.36823,1.43092,1.38778,0.844466,0.470222,0.129762,0.172502
Thailand,32,6.424,6.50912,6.33888,1.12787,1.42579,0.647239,0.580201,0.572123,0.0316127
Taiwan Province of China,33,6.422,6.4946,6.3494,1.43363,1.38457,0.793984,0.361467,0.25836,0.0638292
Spain,34,6.403,6.47105,6.33494,1.3844,1.53209,0.888961,0.408781,0.190134,0.0709141
Qatar,35,6.375,6.56848,6.18152,1.87077,1.2743,0.710098,0.604131,0.330474,0.439299
Colombia,36,6.357,6.45202,6.26198,1.07062,1.40218,0.595028,0.477487,0.149014,0.0466687
Saudi Arabia,37,6.344,6.44417,6.24383,1.53062,1.28668,0.590148,0.449751,0.147616,0.273432
Trinidad and Tobago,38,6.168,6.38153,5.95447,1.36136,1.38023,0.519983,0.518631,0.325296,0.00896482
Kuwait,39,6.105,6.19196,6.01804,1.63295,1.2597,0.632106,0.496338,0.22829,0.21516
Slovakia,40,6.098,6.17735,6.01865,1.32539,1.50506,0.712733,0.295817,0.136544,0.0242109
