YYYY-MM,TREND,CPI_EUR,CPI_USA
2000M01,1,105.1,107.6
2000M02,2,105.4,108.3
2000M03,3,105.8,109.1
2000M04,4,105.9,109.2
2000M05,5,106,109.3
2000M06,6,106.4,109.9
2000M07,7,106.5,110.2
2000M08,8,106.6,110.2
2000M09,9,107.1,110.7
2000M10,10,107.1,110.9
2000M11,11,107.3,111
2000M12,12,107.7,110.9
2001M01,13,107.3,111.6
2001M02,14,107.6,112.1
2001M03,15,108.2,112.3
2001M04,16,108.8,112.8
2001M05,17,109.4,113.3
2001M06,18,109.5,113.5
2001M07,19,109.3,113.2
2001M08,20,109.2,113.2
2001M09,21,109.5,113.7
2001M10,22,109.6,113.3
2001M11,23,109.5,113.1
2001M12,24,110,112.7
2002M01,25,110.1,112.9
2002M02,26,110.3,113.4
2002M03,27,110.9,114
2002M04,28,111.4,114.6
2002M05,29,111.6,114.6
2002M06,30,111.6,114.7
2002M07,31,111.5,114.8
2002M08,32,111.6,115.2
2002M09,33,111.8,115.4
2002M10,34,112.1,115.6
2002M11,35,112,115.6
2002M12,36,112.5,115.3
2003M01,37,112.5,115.8
2003M02,38,112.9,116.7
2003M03,39,113.6,117.4
2003M04,40,113.8,117.2
2003M05,41,113.7,117
2003M06,42,113.8,117.1
2003M07,43,113.7,117.2
2003M08,44,113.9,117.7
2003M09,45,114.3,118.1
2003M10,46,114.4,117.9
2003M11,47,114.5,117.6
2003M12,48,114.8,117.5
2004M01,49,114.6,118.1
2004M02,50,114.8,118.7
2004M03,51,115.6,119.5
2004M04,52,116.2,119.9
2004M05,53,116.5,120.6
2004M06,54,116.6,120.9
2004M07,55,116.3,120.8
2004M08,56,116.6,120.8
2004M09,57,116.7,121.1
2004M10,58,117.2,121.7
2004M11,59,117.1,121.8
2004M12,60,117.5,121.3
2005M01,61,116.8,121.6
2005M02,62,117.2,122.3
2005M03,63,118.1,123.2
2005M04,64,118.6,124.1
2005M05,65,118.8,123.9
2005M06,66,119,124
2005M07,67,118.8,124.6
2005M08,68,119.1,125.2
2005M09,69,119.7,126.7
2005M10,70,120,127
2005M11,71,119.8,126
2005M12,72,120.2,125.5
2006M01,73,119.7,126.4
2006M02,74,120,126.7
2006M03,75,120.7,127.4
2006M04,76,121.5,128.5
2006M05,77,121.8,129.1
2006M06,78,121.9,129.4
2006M07,79,121.8,129.7
2006M08,80,121.9,130
2006M09,81,121.9,129.4
2006M10,82,122,128.7
2006M11,83,122,128.5
2006M12,84,122.5,128.7
2007M01,85,121.9,129.1
2007M02,86,122.2,129.7
2007M03,87,123,130.9
2007M04,88,123.8,131.8
2007M05,89,124.1,132.6
2007M06,90,124.2,132.8
2007M07,91,123.9,132.8
2007M08,92,124,132.6
2007M09,93,124.5,132.9
2007M10,94,125.1,133.2
2007M11,95,125.8,134
2007M12,96,126.3,133.9
2008M01,97,125.8,134.6
2008M02,98,126.2,135
2008M03,99,127.5,136.1
2008M04,100,127.9,137
2008M05,101,128.7,138.1
2008M06,102,129.2,139.5
2008M07,103,129,140.2
2008M08,104,128.8,139.7
2008M09,105,129,139.5
2008M10,106,129.1,138.1
2008M11,107,128.4,135.4
2008M12,108,128.3,134
2009M01,109,127.2,134.6
2009M02,110,127.7,135.3
2009M03,111,128.2,135.6
2009M04,112,128.7,136
2009M05,113,128.7,136.3
2009M06,114,129,137.5
2009M07,115,128.1,137.3
2009M08,116,128.6,137.6
2009M09,117,128.6,137.7
2009M10,118,128.9,137.8
2009M11,119,129.1,137.9
2009M12,120,129.5,137.7
2010M01,121,128.4,138.1
2010M02,122,128.8,138.2
2010M03,123,130.2,138.8
2010M04,124,130.8,139
2010M05,125,130.9,139.1
2010M06,126,130.9,139
2010M07,127,130.4,139
2010M08,128,130.6,139.2
2010M09,129,131,139.3
2010M10,130,131.4,139.4
2010M11,131,131.5,139.5
2010M12,132,132.3,139.7
2011M01,133,131.4,140.4
2011M02,134,131.9,141.1
2011M03,135,133.7,142.5
2011M04,136,134.5,143.4
2011M05,137,134.5,144.1
2011M06,138,134.5,143.9
2011M07,139,133.7,144
2011M08,140,133.9,144.4
2011M09,141,134.9,144.7
2011M10,142,135.4,144.4
2011M11,143,135.5,144.2
2011M12,144,136,143.9
